Title,URL,Result: Number of files
Blog-fork,https://github.com/M3SOulu/EMSE2025SAR-blog-microservices,Type 1: All
Blog-primary,https://github.com/callistaenterprise/blog-microservices,
Micro-ewolff-fork,https://github.com/M3SOulu/EMSE2025SAR-microservice,Type 3: 15 | Type 1: All remaining
Micro-ewolff-primary,https://github.com/ewolff/microservice-consul,
piggymetrics-fork,https://github.com/Azure-Samples/piggymetrics,Type 2: 3 | Type 3: 6 | Type 1: All remaining
piggymetrics-primary,https://github.com/sqshq/PiggyMetrics,
Spring-movie-fork,https://github.com/M3SOulu/EMSE2025SAR-spring-cloud-movie-recommendation,Type 3: 7 | Type 1: All remaining
Spring-movie-primary,https://github.com/mdeket/spring-cloud-movie-recommendation,
Jaeger-fork,https://github.com/openinsight-proj/jaeger,Type 2: 3 | Type 3: 118 | Type 4: 3 | Type 1: All remaining
Jaeger-primary,https://github.com/jaegertracing/jaeger,
