TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection
0,1004,0,0,0,0.6,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
1,1004,0,0.2,0.95,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
2,1004,0,0.95,0.7,0.65,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
3,1004,0.5,0.4,0.6,0.9,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
4,1005,0,0,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
5,1004,0,0.35,0.65,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
6,1004,0,0,0.95,0.05,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
7,1004,0,0.7,0.5,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
8,1000,0,0,0.85,0.15,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
9,1004,0.9,0.3,0.7,0.1,Type-1,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
10,1004,0,0.95,0.6,0.2,Type-2,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
11,1004,0,0,0.4,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
12,1004,0,1,0,1,Type-4,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
13,1004,0,0.75,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
14,1003,0.2,0,0.6,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
15,1000,0,0,0.7,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
16,1004,0,0,0.7,0.3,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
17,1005,0.2,0.5,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
18,1004,0,0,0.5,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
19,1004,0,0,0,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
20,971,0,0,0,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
21,1005,0,0,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
22,1004,0,0.3,0.7,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
23,1005,0.1,0.3,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
24,1005,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,fork_M1
