TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,1,0.0,0.85,0.9,0.7,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
1,87,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
2,64,0.1,0.75,0.9,0.2,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
3,16,0.0,0.0,0.05,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
4,187,0.0,0.05,0.9,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
5,200,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
6,165,0,0,0.05,0.95,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
7,39,0.0,0.05,0.95,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
8,215,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
9,40,0.0,0.0,0.25,0.8,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
10,128,0.0,0.0,0.0,0.9,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
11,120,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
12,215,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
13,128,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
14,40,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
15,113,0.0,0.0,0.05,0.1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
16,204,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
17,21,0.0,0.0,0.95,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
18,202,0.0,0.0,0.0,0.0,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
19,187,0.0,0.0,0.1,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
20,6,0,0.85,0.9,0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
21,87,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
22,97,0.0,0.0,0.1,0.9,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
23,85,0.0,0.05,0.95,0.0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
24,128,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
25,208,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
26,209,1.0,0.0,0.0,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
27,224,0.9,0.1,0.05,0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
28,225,0.95,0.05,0.05,0.05,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
29,212,0.9,0.05,0.05,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
30,213,0.95,0.05,0,0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
31,222,0.9,0.05,0.05,0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
32,209,0.9,0.1,0.1,0.1,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
33,224,0.8,0.95,0.1,0,Type-2,devstral:24b,primary_M1,primary_M1,Cqrs.db
34,225,1.0,0.0,0.0,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
35,226,1.0,0.0,0.0,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
36,82,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
37,38,-1,-1,-1,-1,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
38,17,0.0,0.0,0.0,0.0,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
39,7,0,0.1,0.9,0,Type-3,devstral:24b,primary_M1,primary_M1,Cqrs.db
40,14,0.0,0.0,0.0,0.0,Type-4,devstral:24b,primary_M1,primary_M1,Cqrs.db
41,208,0.9,0.05,0.05,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
42,209,0.9,0.95,0.1,0.05,Type-2,devstral:24b,primary_M1,primary_M1,Cqrs.db
43,224,0.8,0.95,0.05,0,Type-2,devstral:24b,primary_M1,primary_M1,Cqrs.db
44,225,0.95,0.05,0.05,0.0,Type-1,devstral:24b,primary_M1,primary_M1,Cqrs.db
