TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
1,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
2,295,0,0,0,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
3,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
4,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
5,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
6,295,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
7,295,0,0,0,0,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
8,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
9,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
10,295,0,0,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
11,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
12,295,0,0.15,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
13,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
14,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
15,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
16,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
17,295,0.1,0.85,0.9,0.6,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
18,295,0,0,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
19,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
20,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
21,295,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
22,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
23,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
24,295,0,0,0.15,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
25,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
26,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
27,295,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
28,295,0,0,0.25,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
29,295,0,0,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
30,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
31,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
32,295,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
33,295,0,0,0.05,0.05,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
34,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
35,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
36,295,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
37,295,0,0,0.2,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
38,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
39,295,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
40,295,0,0,0.15,0.75,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
41,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
42,295,0,0,0.05,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
43,295,0,0,0.2,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
44,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
45,295,0,0,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
46,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
47,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
48,295,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
49,295,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
50,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
51,295,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
52,295,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
53,295,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Ftgo-application.db
