TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,2801,0,0,0.75,0,Type-3,devstral:24b,fork_M1,primary_M1,Google-demo.db
1,2801,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
2,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
3,2801,0.0,0.0,0.15,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
4,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
5,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
6,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
7,2801,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
8,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
9,2801,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
10,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
11,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
12,2801,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Google-demo.db
13,2801,0.0,0.0,0.05,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
14,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
15,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
16,2801,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Google-demo.db
17,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
18,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
19,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
20,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
21,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
22,2801,0.0,0.05,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Google-demo.db
23,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
24,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
25,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
26,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
27,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
28,2801,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
29,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
30,2801,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
31,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
32,2801,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Google-demo.db
