TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,0,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
1,1,0.9,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
2,2,0.9,0.2,0.85,0.1,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
3,3,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
4,4,0.0,0.85,0.15,0.0,Type-2,devstral:24b,fork_M2,primary_M2,Lakeside.db
5,5,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
6,6,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
7,7,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
8,8,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
9,9,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
10,10,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
11,11,0.95,0.05,0.01,0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
12,12,0.0,0.15,0.8,0.6,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
13,13,0,0.5,0.8,0,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
14,14,0.95,0.05,0.05,0.05,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
15,15,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
16,16,0.95,0.85,0.05,0.1,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
17,17,0.9,0.7,0.3,0.1,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
18,18,0.0,0.8,0.2,0.0,Type-2,devstral:24b,fork_M2,primary_M2,Lakeside.db
19,19,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
20,20,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
21,21,1.0,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
22,22,0.0,0.85,0.95,0.6,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
23,23,0.9,0.1,0.15,0.2,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
24,24,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
25,25,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
26,26,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
27,27,0.95,0,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
28,28,0.9,0.05,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
29,29,0.95,0.05,0.05,0.05,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
30,30,0.8,0.1,0.95,0,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
31,31,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
32,32,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
33,4308,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
34,33,0.9,0.1,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
35,34,0.9,0.1,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
36,35,0.9,0.05,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
37,36,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
38,37,0,0,0.7,0.5,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
39,38,0.9,0.1,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
40,39,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
41,40,0.8,0.05,0.1,0.95,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
42,45,0.9,0.1,0.1,0.05,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
43,46,0,0.65,0.85,0,Type-3,devstral:24b,fork_M2,primary_M2,Lakeside.db
44,47,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
45,32,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,Lakeside.db
46,49,0.95,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
47,50,0.9,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
48,51,0.9,0.1,0.05,0.05,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
49,52,1.0,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,Lakeside.db
