TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,508,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
1,508,0,0.05,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
2,508,0.0,0.05,0.95,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
3,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
4,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
5,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
6,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
7,508,0,0,0.25,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
8,508,0.0,0.0,0.5,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
9,508,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
10,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
11,508,0.0,0.0,0.15,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
12,508,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
13,508,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
14,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
15,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
16,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
17,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
18,508,0.0,0.0,0.15,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
19,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
20,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
21,508,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
22,508,0.0,0.05,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
23,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
24,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
25,508,0.0,0.0,0.25,0.7,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
26,508,0.0,0.05,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
27,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
28,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
29,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
30,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
31,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
32,508,0.0,0.0,0.15,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
33,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
34,508,0.0,0.0,0.2,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
35,508,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
36,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
37,508,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
38,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
39,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
40,508,0.0,0.05,0.1,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
41,508,0.0,0.05,0.8,0.2,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
42,508,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
43,508,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
44,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
45,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
46,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
47,508,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
48,508,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
49,508,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
50,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
51,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
52,508,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
53,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
54,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
55,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
56,508,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
57,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
58,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
59,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
60,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
61,508,0,0.05,0.6,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
62,508,0,0.1,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
63,508,0.0,0.05,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
64,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
65,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
66,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
67,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
68,508,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
69,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
70,508,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
71,508,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
72,508,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
73,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
74,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
75,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
76,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
77,508,0.0,0.0,0.05,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
78,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
79,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
80,508,0,0,0.35,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
81,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
82,508,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
83,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
84,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
85,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
86,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
87,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
88,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
89,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
90,508,0,0,0.2,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
91,508,0,0.05,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
92,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
93,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
94,508,0.0,0.0,0.0,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
95,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
96,508,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
97,508,0.0,0.0,0.0,0.5,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
98,508,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
99,508,0,0.05,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
100,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
101,508,0,0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
102,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
103,508,0.0,0.0,0.0,0.5,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
104,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
105,508,0.0,0.0,0.0,0.6,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
106,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
107,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
108,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
109,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
110,508,0.0,0.0,0.15,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
111,508,0,0,0.05,0.7,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
112,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
113,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
114,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
115,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
116,508,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
117,508,0,0,0.15,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
118,508,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Robot-shop.db
119,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
120,508,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
121,508,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
122,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
123,508,0.0,0.0,0.05,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
124,508,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Robot-shop.db
