TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,364,0.0,0.75,0.85,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
1,364,0.95,0.8,0.7,0,Type-1,devstral:24b,fork_M1,primary_M1,Spring-micro.db
2,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
3,364,0.0,0.0,0.5,0.3,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
4,364,0,0.25,0.75,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
5,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
6,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
7,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
8,364,0,0.05,0.75,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
9,364,0.05,0.95,0.7,0.0,Type-2,devstral:24b,fork_M1,primary_M1,Spring-micro.db
10,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
11,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
12,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
13,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
14,364,0.0,0.05,0.9,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
15,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
16,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
17,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
18,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
19,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
20,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
21,364,0.0,0.05,0.85,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
22,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
23,364,0.0,0.0,0.85,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
24,364,0.0,0.0,0.3,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
25,364,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
26,364,0.1,0.15,0.25,0.5,Type-4,devstral:24b,fork_M1,primary_M1,Spring-micro.db
27,364,0.0,0.0,0.5,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
28,364,0,0.95,0.8,0,Type-2,devstral:24b,fork_M1,primary_M1,Spring-micro.db
29,364,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-micro.db
