TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,104,0.0,0.0,0.5,0.6,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
1,104,0.0,0.05,0.15,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
2,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
3,104,0,0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
4,104,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
5,104,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
6,104,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
7,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
8,104,0.1,0.75,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
9,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
10,104,0,0,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
11,104,0,0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
12,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
13,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
14,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
15,104,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
16,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
17,104,0,0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
18,104,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
19,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
20,104,0,0.05,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
21,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
22,104,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
23,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
24,104,0,0,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
25,104,0.0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
26,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
27,104,0.0,0.0,0.0,0.05,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
28,104,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
29,104,0.8,0.95,0.05,0.0,Type-2,devstral:24b,fork_M1,primary_M1,Spring-movie.db
30,104,0.6,0.75,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
31,104,0.0,0.0,0.75,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
32,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
33,104,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
34,104,0,0.95,0,0,Type-2,devstral:24b,fork_M1,primary_M1,Spring-movie.db
35,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
36,104,0.1,0.15,0.8,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
37,104,0.1,0.5,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
38,104,0.0,0.0,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
39,104,0.0,0.0,0.0,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
40,104,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
41,104,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
42,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
43,104,0,0.05,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
44,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
45,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
46,104,0.0,0.0,0.1,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
47,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
48,104,0,0,0,0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
49,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
50,104,0.0,0.0,0.0,0.1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
51,104,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
52,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
53,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
54,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
55,104,0.0,0.0,0.0,0.7,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
56,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
57,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
58,104,0,0.1,0.3,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
59,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
60,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
61,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
62,104,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
63,104,0,0.15,0.25,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
64,104,0,0,0,0.05,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
65,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
66,104,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
67,104,0,0,0,0.2,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
68,104,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
69,104,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
70,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
71,104,0.0,0.05,0.7,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
72,104,0.0,0.0,0.5,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
73,104,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Spring-movie.db
74,104,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Spring-movie.db
