TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,216,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
1,2300,0.1,0.15,0.8,0.1,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
2,216,0,0.1,0.9,0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
3,214,0.2,0.5,0.8,0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
4,3803,0.2,0.75,0.8,0.0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
5,17,0.9,0.1,0.85,0,Type-1,devstral:24b,fork_M3,primary_M3,apollo.db
6,17,0.9,0.85,0.65,0.1,Type-1,devstral:24b,fork_M3,primary_M3,apollo.db
7,17,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
8,18,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
9,20,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
10,22,0.85,0.9,0.7,0.6,Type-2,devstral:24b,fork_M3,primary_M3,apollo.db
11,23,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
12,24,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
13,25,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
14,24,0,0.95,0.7,0,Type-2,devstral:24b,fork_M3,primary_M3,apollo.db
15,3414,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
16,35,0,0.5,0.8,0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
17,3414,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
18,3805,0,0.95,0.8,0,Type-2,devstral:24b,fork_M3,primary_M3,apollo.db
19,25,-1,-1,-1,-1,Type-4,devstral:24b,fork_M3,primary_M3,apollo.db
20,3413,0.0,0.0,0.75,0.0,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
21,28,0.1,0.2,0.85,0.05,Type-3,devstral:24b,fork_M3,primary_M3,apollo.db
22,31,0.8,0.25,0.6,0.1,Type-1,devstral:24b,fork_M3,primary_M3,apollo.db
