TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,1402,0.0,0.05,0.8,0.15,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
1,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
2,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
3,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
4,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
5,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
6,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
7,1402,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
8,1402,0,0,0.75,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
9,1402,0.0,0.0,0.0,1.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
10,1402,0.0,0.0,0.5,0.0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
11,1402,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
12,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
13,1402,0.0,0.0,0.0,0.95,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
14,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
15,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
16,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
17,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
18,1402,0,0,0.1,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
19,1402,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
20,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
21,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
22,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
23,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
24,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
25,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
26,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
27,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
28,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
29,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
30,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
31,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
32,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
33,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
34,1402,0.0,0.0,0.2,0.8,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
35,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
36,1402,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
37,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
38,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
39,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
40,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
41,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
42,1402,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
43,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
44,1402,0,0.05,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
45,1402,0.25,0.25,0.25,0.25,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
46,1402,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
47,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
48,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
49,1402,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
50,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
51,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
52,1402,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
53,1402,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
54,1402,0.0,0.0,0.5,0.0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
55,1402,0,0,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
56,1402,0,0.15,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
57,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
58,1402,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
59,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
60,1402,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
61,1402,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
62,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
63,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
64,1402,0.0,0.0,0.75,0.0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
65,1402,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
66,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
67,1402,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,apollo.db
68,1402,0.0,0.2,0.8,0.5,Type-3,devstral:24b,fork_M1,primary_M1,apollo.db
