TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,4874,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
1,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
2,4874,0.0,0.0,0.5,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
3,4874,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
4,4874,0,0.95,0.75,0,Type-2,devstral:24b,fork_M1,primary_M1,Lakeside.db
5,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
6,4874,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
7,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
8,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
9,4874,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
10,4874,0.0,0.0,0.0,0.5,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
11,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
12,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
13,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
14,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
15,4874,0,0.1,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
16,4874,0.0,0.05,0.95,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
17,4874,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
18,4874,0.0,0.05,0.65,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
19,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
20,4874,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
21,4874,0,0,0.15,0,Type-3,devstral:24b,fork_M1,primary_M1,Lakeside.db
22,4874,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Lakeside.db
