TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
1,1746,0.0,0.0,0.0,0.5,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
2,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
3,1746,0.1,0.85,0.6,0.2,Type-2,devstral:24b,fork_M1,primary_M1,jaeger.db
4,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
5,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
6,1746,0.0,0.0,0.25,0.0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
7,1746,0,0,0.75,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
8,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
9,1746,0,0,0.25,0.75,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
10,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
11,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
12,1746,0,0.1,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
13,1746,0.0,0.0,0.0,0.8,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
14,1746,0.0,0.05,0.95,0.1,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
15,1746,0.0,0.0,0.5,0.2,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
16,1746,0,0.65,0.8,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
17,1746,0,0,0.65,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
18,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
19,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
20,1746,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
21,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
22,1746,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
23,1746,0.85,0.9,0.2,0.1,Type-2,devstral:24b,fork_M1,primary_M1,jaeger.db
24,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
25,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
26,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
27,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
28,1746,0.05,0.1,0.7,0.2,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
29,1746,0.0,0.0,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
30,1746,0,0,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
31,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
32,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
33,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
34,1746,0.0,0.0,0.8,0.2,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
35,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
36,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
37,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
38,1746,0.0,0.75,0.9,0.0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
39,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
40,1746,0.1,0.3,0.6,0.05,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
41,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
42,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
43,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
44,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
45,1746,0.95,0.85,0.75,0.6,Type-1,devstral:24b,fork_M1,primary_M1,jaeger.db
46,1746,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
47,1746,0,0.95,0.75,0,Type-2,devstral:24b,fork_M1,primary_M1,jaeger.db
48,1746,0,0,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,jaeger.db
49,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
50,1746,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,jaeger.db
