TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,148,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
1,148,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
2,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
3,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
4,148,0.0,0.0,0.0,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
5,148,0.0,0.0,0.0,1.0,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
6,148,0,0.05,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
7,148,0.0,0.05,0.9,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
8,148,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
9,148,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
10,148,0,0.15,0.85,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
11,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
12,148,0.0,0.1,0.85,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
13,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
14,148,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
15,148,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
16,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
17,148,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
18,148,0.0,0.05,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
19,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
20,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
21,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
22,148,0.1,0.15,0.65,0.1,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
23,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
24,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
25,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
26,148,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
27,148,0.0,0.0,0.0,0.7,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
28,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
29,148,0.0,0.0,0.2,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
30,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
31,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
32,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
33,148,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
34,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
35,148,0.0,0.0,0.2,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
36,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
37,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
38,148,0.0,0.05,0.8,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
39,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
40,148,0,0.05,0.9,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
41,148,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
42,148,0,0,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
43,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
44,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
45,148,0,0.05,0.6,0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
46,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
47,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
48,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
49,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
50,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
51,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
52,148,0.0,0.0,0.15,0.85,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
53,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
54,148,0.0,0.0,0.0,0.8,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
55,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
56,148,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
57,148,0.0,0.0,0.05,0.0,Type-3,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
58,148,0.0,0.0,0.0,0.6,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
59,148,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
60,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
61,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
62,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
63,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
64,148,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,Micro-ewolff.db
