TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
1,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
2,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
3,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
4,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
5,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
6,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
7,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
8,836,0.0,0.05,0.7,0.0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
9,836,0.0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
10,836,0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
11,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
12,836,0.0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
13,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
14,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
15,836,0.0,0.0,0.0,0.5,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
16,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
17,836,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
18,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
19,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
20,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
21,836,0,0.1,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
22,836,0.0,0.0,0.1,0.9,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
23,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
24,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
25,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
26,836,0.0,0.05,0.95,0.0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
27,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
28,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
29,836,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
30,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
31,836,0,0,0.05,0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
32,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
33,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
34,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
35,836,0.0,0.0,0.05,0.8,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
36,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
37,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
38,836,0,0.05,0.95,0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
39,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
40,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
41,836,0.0,0.0,0.05,0.95,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
42,836,0.0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
43,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
44,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
45,836,0.0,0.0,0.0,0.1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
46,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
47,836,0.05,0.1,0.85,0.0,Type-3,devstral:24b,fork_M1,primary_M1,piggymetrics.db
48,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
49,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
50,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
51,836,0.0,0.05,0.1,0.85,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
52,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
53,836,0.0,0.0,0.05,0.9,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
54,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
55,836,0.0,0.0,0.0,0.0,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
56,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
57,836,-1,-1,-1,-1,Type-4,devstral:24b,fork_M1,primary_M1,piggymetrics.db
