TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,184,0,0.5,0.8,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
1,223,0.0,0.5,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
2,294,0,0,0.8,0.5,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
3,297,0,0.65,0.85,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
4,294,0,0.95,0.05,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
5,297,0,0.9,0.2,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
6,271,0,0.9,0.7,0.0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
7,186,0,0.85,0.15,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
8,67,0,0.8,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
9,242,0,0.65,0.9,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
10,137,0,0.95,0.75,0,Type-2,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
11,291,0.2,0.6,0.85,0.05,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
12,291,0,0.5,0.9,0.1,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
13,297,0,0.4,0.6,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
14,271,0,0.8,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
15,295,-1,0.4,0.95,-1,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
16,223,0,0.1,0.7,0.2,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
17,186,0.2,0.4,0.6,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
18,242,-0.9,0.6,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
19,295,0,0,0.8,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
20,269,0,0.3,0.6,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
21,271,0.8,0.6,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
22,271,-1.0,-0.6,-0.8,-0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
23,223,0,0.3,0.7,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
24,295,-0.05,0.6,0.2,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
25,186,0,0.6,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
26,256,0.05,0.45,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
27,271,-0.5,0.7,0.8,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
28,297,0,0.4,0.95,0,Type-3,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
29,295,0,0,0.7,0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
30,295,-0.5,0.3,0.7,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
31,271,0.8,0.3,0.4,0.0,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
32,186,-1,0.4,0.6,-1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
33,223,0,0,0.8,0.1,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
34,291,0.2,0.4,0.8,0.05,Non-clone,mistralai/codestral-22b-v0.1,fork_M1,primary_M1,Micro-demo.db
