TargetFileID,SimilarFileID,Type-1,Type-2,Type-3,Type-4,PredictedType,ModelName,TargetCollection,SimilarCollection,Database
0,0,1.0,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
1,1,0.95,0.05,0.05,0.1,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
2,2,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
3,3,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
4,4,0.95,0,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
5,5,0.9,0.05,0.05,0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
6,6,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
7,7,0.9,0.1,0.1,0.05,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
8,8,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
9,9,0.95,0.0,0.1,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
10,10,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
11,11,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
12,12,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
13,13,0.9,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
14,14,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
15,15,0.95,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
16,16,0,0.95,0.1,0,Type-2,devstral:24b,fork_M2,primary_M2,sitewhere.db
17,17,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
18,18,0.9,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
19,19,1.0,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
20,20,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
21,21,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
22,22,0.95,0,0,0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
23,23,0.95,0.0,0.1,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
24,24,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
25,25,1.0,0.0,0.0,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
26,26,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
27,27,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
28,28,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
29,29,0.9,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
30,30,0.95,0.05,0,0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
31,31,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
32,32,-1,-1,-1,-1,Type-4,devstral:24b,fork_M2,primary_M2,sitewhere.db
33,33,0.9,0.1,0.05,0.05,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
34,34,0.95,0.05,0.05,0.0,Type-1,devstral:24b,fork_M2,primary_M2,sitewhere.db
